General_Release date,General_Battery capacity (mAh),General_Removable battery,Display_Refresh Rate,Display_Screen size (inches),Hardware_RAM,Hardware_Internal storage,Hardware_Expandable storage,Connectivity_NFC,camera_1_megapixel,camera_2_megapixel,camera_3_megapixel,camera_4_megapixel,camera_5_megapixel,num_cameras,front_camera_1_megapixel,front_camera_2_megapixel,num_front_cameras,Network_SIM_1,Network_SIM_2,General_Price in India
2024.0,5000.0,No,60,6.7,12.0,256.0,No,Yes,50,64,8,0,0,3,32,0,1,Unknown,Unknown,25000.0
2023.0,5500.0,Unknown,120,6.78,16.0,256.0,No,Yes,50,8,2,0,0,3,16,0,1,5G,5G,35999.0
2023.0,5000.0,No,90,6.74,6.0,128.0,Yes,Yes,108,0,0,0,0,1,8,0,1,Unknown,Unknown,10990.0
2024.0,5000.0,Unknown,90,6.56,8.0,128.0,Yes,Yes,50,2,0,0,0,2,8,0,1,Unknown,Unknown,13500.0
2024.0,5000.0,No,120,6.67,12.0,256.0,Unknown,Yes,108,2,0,0,0,2,16,0,1,Unknown,Unknown,12999.0
2024.0,5000.0,No,120,6.72,8.0,256.0,Unknown,Unknown,50,2,0,0,0,2,16,0,1,Unknown,Unknown,17631.0
2024.0,5000.0,No,120,6.67,12.0,512.0,Yes,Unknown,108,8,2,0,0,3,13,0,1,Unknown,Unknown,15999.0
2023.0,5000.0,No,90,6.79,12.0,128.0,Yes,Yes,50,8,2,0,0,3,8,0,1,Unknown,Unknown,9499.0
2023.0,5000.0,Unknown,90,6.56,8.0,256.0,Unknown,Unknown,50,2,2,0,0,3,8,0,1,Unknown,Unknown,11499.0
2022.0,5000.0,Unknown,90,6.5,8.0,128.0,Yes,Yes,50,8,2,0,0,3,16,0,1,Unknown,Unknown,7699.0
2023.0,4610.0,Unknown,120,6.36,12.0,512.0,No,Yes,50,50,50,0,0,3,32,0,1,Unknown,Unknown,59999.0
2019.0,5000.0,Unknown,60,6.4,3.0,32.0,Yes,Unknown,13,5,5,0,0,3,16,0,1,4G,4G,11000.0
2022.0,5000.0,Unknown,60,6.56,4.0,64.0,Yes,Unknown,50,2,0,0,0,2,5,0,1,Unknown,Unknown,14999.0
2023.0,5000.0,No,120,6.8,12.0,1024.0,No,Yes,200,12,10,0,0,3,12,0,1,5G,Unknown,75999.0
2024.0,6000.0,No,90,6.5,8.0,128.0,Yes,Unknown,50,5,2,0,0,3,13,0,1,Unknown,Unknown,12754.0
2024.0,5500.0,No,120,6.77,12.0,256.0,Unknown,Unknown,50,8,0,0,0,2,16,0,1,5G,5G,24998.0
2019.0,5000.0,Unknown,60,6.4,4.0,64.0,Yes,Unknown,13,5,5,0,0,3,16,0,1,4G,4G,16490.0
2022.0,4500.0,Unknown,90,6.4,8.0,128.0,Yes,Yes,64,8,2,0,0,3,16,0,1,5G,5G,16999.0
2024.0,5000.0,No,120,6.6,12.0,256.0,Yes,Unknown,50,12,5,0,0,3,32,0,1,Unknown,Unknown,40499.0
2024.0,5000.0,No,60,6.1,8.0,512.0,No,Yes,48,12,0,0,0,2,12,0,1,5G,5G,79900.0
2024.0,6000.0,Unknown,60,6.72,8.0,128.0,Unknown,Yes,50,2,0,0,0,2,8,0,1,Unknown,Unknown,12499.0
